	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
302	0.6666666666666666	0.396	0.585	0.019	0.35584561817541227	15	11971.706802367735
303	0.6666666666666666	0.492	0.492	0.016	0.33743877625379987	15	11959.100569897018
304	0.6673333333333334	0.562	0.425	0.014	0.32441743424094455	15	11950.404869483946
305	0.666	0.614	0.373	0.012	0.31432494776206366	15	11943.055408544755
306	0.6666666666666666	0.656	0.333	0.011	0.3064377780208414	15	11937.869019573873
307	0.6666666666666666	0.689	0.301	0.01	0.3001018182174202	15	11933.52973190317
308	0.6666666666666666	0.717	0.274	0.009	0.294902145248366	15	11929.968649209097
309	0.6666666666666666	0.74	0.252	0.008	0.29055766870412447	15	11926.993262039832
310	0.6666666666666666	0.023	0.721	0.256	4.292502061747076	15	14667.791578688513
311	0.6673333333333332	0.208	0.585	0.208	3.468927717923817	15	14106.128716045172
312	0.6666666666666666	0.333	0.492	0.175	2.9236627113154805	15	13730.319135556261
313	0.6673333333333332	0.425	0.425	0.151	2.536048420381504	15	13466.591883200117
314	0.6666666666666666	0.494	0.373	0.133	2.246327414473299	15	13266.43476859228
315	0.666	0.548	0.333	0.118	2.0261423675419055	15	13114.249732081082
316	0.6666666666666666	0.592	0.301	0.107	1.845835941333502	15	12992.151508354604
317	0.666	0.628	0.274	0.097	1.6986532605256857	15	12890.187645362332
318	0.6666666666666666	0.659	0.252	0.089	1.5761917470944544	15	12807.481187860089
319	0.6666666666666666	0.684	0.233	0.083	1.4727519729704097	15	12736.638734555001
320	0.6666666666666666	0.019	0.585	0.396	7.960892216227688	15	17180.14971582047
321	0.6666666666666666	0.175	0.492	0.333	6.67986196512442	15	16302.81479784821
322	0.6673333333333332	0.288	0.425	0.288	5.76349828221621	15	15679.175084737355
323	0.666	0.373	0.373	0.253	5.075504841526378	15	15200.568038384232
324	0.6666666666666666	0.441	0.333	0.226	4.539969064204312	15	14837.273479771393
325	0.6666666666666666	0.495	0.301	0.204	4.120069296395	15	14549.698125457722
326	0.6666666666666666	0.54	0.274	0.186	3.7603432739682106	15	14303.333763565028
327	0.6666666666666666	0.577	0.252	0.171	3.473880743209854	15	14107.145124999655
